id,Текст Сообщения,Тематика,Ответственное лицо,Категория
80,"<p>Возле остановки `Сахарный завод` находится яма, которая не заосфальтированная, прошу Вас направить письмо в адрес руководства САХАРНОГО ЗАВОДА что бы они привели это территорию в порядок, будте добры сюда скинуть письмо и результат проделанной работы,также прошу Вас убрать всю сухую растительность и установить остановочный комплекс и дорожный знак, остановочный павильон стоит 50 000 это небольшие деньги так что будте добры установить.&nbsp;</p>",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Администрация города Льгов,0
387,"<p>Хотелось&nbsp;бы обратить внимание для принятия надлежащих мер, по&nbsp;следующему вопросу. Детская площадка, располагающаяся во&nbsp;дворе жилого д.199 А по улице Бойцов 9 Дивизии, находится в&nbsp;плачевном состоянии . Сломанные качели, которые могут нанести вред жизни и&nbsp;здоровью детям, малые формы имеющиеся на площадке не закреплены должным образом, срок службы этих форм давно вышел, песочница не&nbsp;отвечающая никаким нормам и&nbsp;рекомендациям. В&nbsp;домах , расположенных рядом с&nbsp;данной площадкой проживает множество детей , однако площадка пригодна лишь для выгула домашних животных, чем некоторые жители активно пользуются! Уборка и вывоз мусора на площадке не производится. Так&nbsp;же детская площадка не&nbsp;имеет никаких ограждений от&nbsp;асфальтированного покрытия во&nbsp;дворе домов. При обращении в УК ООО «ТСЖ – уютный дом», с просьбой навести порядок на площадке, получили ответ, что территория не относится к данной УК. На кадастровой карте видно, что действительно территория на которой находится детская площадка, не закреплена ни за одним домом как придомовая. В&nbsp;связи с&nbsp;выше изложенным убедительно прошу разобраться в&nbsp;данном вопросе, так как скоро летний сезон и&nbsp;нашим детям необходима детская площадка пригодном и&nbsp;безопасном виде.</p>",Неудовлетворительная уборка и освещение мест общего пользования в многоквартирном доме,Государственная жилищная инспекция Курской области,3
2205,"Нет люков на коммуникационных колодцах, территория школы",Отсутствие люков на коммуникационных колодцах,Администрация города Курска,3
456,"<p>Не горит фонарь на столбе по адресу г. Льгов, ул. Свердлова, д. 43.</p>",Неработающее наружное освещение,Администрация города Льгов,3
2028,"Прошу навести порядок. Урна полная мусора, рядом с урной мусор, на остановке мусор, за остановкой тоже мусор. Прошу навести порядок",Несанкционированные свалки твёрдых бытовых отходов,Комитет транспорта и автомобильных дорог Курской области,16
1845,На пешеходном переходе между домами №7 и №10 по проспекту Дружбы не работает индикация запрещающего красного сигнала пешеходного светофора. Прошу восстановить нормальную работу светофора.,Светофоры на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0
557,"<p>Провал люка при повороте с ул. Сумская на пр.Клыкова . О данной проблеме писал еще в сентябре прошлого годо , но до сих пор ожидаем благоприятных погодных условий!</p><p>ОТВЕТ на предыдущее обращение:<span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>Здравствуйте. Из-за большого объема дорожно-ремонтных работ в 2020 году, выполнить все недочёты не представилось возможным. Поэтому дефекты с колодцами указанными в обращении, будут устранены подрядными организациями при наступлении благоприятных погодных условий.&nbsp; Приносим Вам свои извинения и надеемся на понимание.</span></p><p><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>Номер&nbsp;</span><span style=`background-color:rgb(255,255,255);color:rgb(153,153,153);`> </span><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`><strong>74149</strong></span></p><p><span style=`background-color:rgb(255,255,255);color:rgb(68,68,68);`><strong>Прошу принять меры , а не писать очередные отписки. Дорога находится на гарантии.</strong></span></p><p><br data-cke-filler=`true`></p><p><br data-cke-filler=`true`></p>",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0
1080,"<p>Нет мест на вакцинацию ковид 19, а на портале гос услуг стоит 1550 мест свободных</p>",Проблемы с записью на вакцинацию,Комитет здравоохранения Курской области,4
954,"<p>Когда переведут школьников и студентов на удалённое обучения</p><p>&nbsp;Дети ходят с кашлем, насморком и с другими признаками болезней, но они ходят и заоажают других детей. Прошу Вас рассмотреть вопрос о переводе на дистанционное обучения&nbsp;</p>",Посменное обучение,Комитет образования и науки Курской области,7
1924,"Я, Васильева Наталья Дмитриевна проживающая на последнем этаже 5 этажного дома. Моя квартира постоянно затапливается осадками(дождь, таяния снега). Связи с этим повредились обои, штукатурка и появилась плесень. В 2019 году проводили латочный ремонт крыши,но течь стало ещё сильнее.  Прошу Вас в кратчайшие сроки разобраться с этой проблемой.",Несвоевременный (некачественный) текущий ремонт многоквартирного дома,Государственная жилищная инспекция Курской области,3
2016,"При движении по дублёру улицы 50 лет Октября от улицы Студенческой до проспекта Дружбы в районе ТЦ `Европа` и дома №2 по проспекту Дружбы оборудован нерегулируемый пешеходный переход. На данном пешеходном переходе и ближе 5 метров перед ним регулярно фиксируется остановка и стоянка транспортных средств, что является нарушением п.12.4 Правил дорожного движения Российской Федерации. В связи с этим ограничивается обзор как для приближающихся к пешеходному переходу водителей транспортных средств, так и для пешеходов. В результате регулярно возникают аварийные ситуации, создаётся угроза жизни и здоровья пешеходов, переходящих проезжую часть.

С целью недопущения указанных нарушений ПДД РФ и обеспечения безопасности дорожного движения прошу установить столбики или иные технические средства организации дорожного движения, препятствующие остановке транспортных средств ближе 5 метров перед данным пешеходным переходом.",Пешеходные переходы на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0
453,"<p><strong>Здравствуйте! Я проживаю по адресу</strong>:<strong> Курская область, &nbsp;г. Железногорск, &nbsp;ул. Ленина 95к2. Все три года, пока мы здесь живём, &nbsp;проблемы только прибавляются:</strong></p><ol><li>На проезжей части около дома со стороны дачного товарищества постоянно образуется огромная лужа, даже после маленького дождя. Проехать становится проблематично, а пройти и вовсе невозможно. &nbsp;Мы много раз об этой проблеме писали в разные инстанции, но увы ничего не меняется.</li><li>Соседним застройщиком ЖБИ-3 была испорчена наша парковка, когда те прокладывали трубы к своим домам, так уже два года парковка и стоит раскуроченная. Припарковать автомобиль туда можно исключительно только тогда, когда глина и лужи на ней просохнут.</li><li>Дорогу вдоль дачного проезда от нашего дома до школы #14 никто делать не торопится, хотя очень обещали. Детям приходится идти “окольными” путями или по грязи, а зимой по колено в снегу.</li><li>Сквер между нашим домом и катком “Юбилейный” тоже находится в состоянии <strong>стройки уже много лет, доделывать его абсолютно не торопятся. Чтобы погулять с детьми, нам приходится идти в другой микрорайон, &nbsp;перепрыгивая через ямы на дороге. И так уже три года!!!&nbsp;</strong></li></ol>",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Администрация города Железногорска,0
1105,"<p>В 2019 году уже обращался с данной проблемой. Обещали решить в течении 20-21 годов, но увы.</p><p>В посёлке Хомутовка полностью отсутствует подача питьевой холодной воды. &nbsp;То что течёт из кранов не подходит даже для того чтобы помыться, т.к. имеет коричневый цвет и неприятный запах (по определению вода - это жидкость без цвета и запаха). После первого обращения, в 2019 году, на некоторых улицах отключили колонки, а чистота колодцев поддерживается исключительно усилиями местных жителей.</p>",Некачественное водоснабжение в районе частного сектора,Администрация Хомутовского района,3
1177,"<p style=`margin-left:0px;`>Здравствуйте. Не дождавшись ответа, ещё раз хочу ввести корректировку в проблему.&nbsp;</p><ol><li>Асфальтированная дорога, на участке &nbsp;где ведётся &nbsp;ремонт 3000 м., почему новое асфальтнре полотно не доводят до новой дороги Солнцевского района? Ведь там в сущности остаток 2-3 км остаток…</li><li>На всем участке дороги в деревне Полевая нет освещения!!! Кроме Лицея- там 2 фонаря и при въезде в посёлок частично. В остальном же, отъезда от школы в сторону Гуторово, нет НИ ОДНОГО ФАНАРЯ!!! Я уж не говорю об освещении в Верхнем Гуторово =его нет совсем! Как людям жить? О какой безопасности речь? Её просто нет. Единственный фонарь около школы…</li><li>Ну и снова к дороге в Верхнем Гуторово… мы получили ответ, что запланированы работы по дорожном покрытия в 22-23 году, но там есть такие участки, по которым просто не проехать…. Возможно ли оказать содействие с вашей стороны, в организации хоть какой то насыпи, чтобы машинам не оседать в куче грязи и лужах? Там ведь и мусор не вывозится, ни одного бака. Мусорные машины не проезжаю туда. Мусор валяется повсюду.</li><li>Асфальт. Освещение. Мусор</li></ol>",Неработающее наружное освещение,Администрация Курского района,3
2318,"Уважаемые товарищи ответственные за содержание дорог в льговском районе, а именно у деревни шерекино, улица Набережная нуждается в подсыпке и качественном грейдировании, а так же улица советская и улица садовая… Детям идущим в школу которые учатся в городе или на остановку приходится пробираться после дождя по грязи и соответственно они в школу приезжают грязные. ПРОСИМ МЫ ЖИТЕЛИ ЭТИХ УЛИЦ ПРОИЗВЕСТИ ПОДСЫПКУ И ГРЕЙДИРОВАНИЕ В КРАТЧАЙШИЕ СРОКИ.",Безопасная дорога в школу на дорогах в границах городских округов и сельских поселений,Администрация Льговского района,0
831,"<p>Добрый день!</p><p>Прошу Вас вернуть на маршрут Льгов-Ольшанка пазик или BAW 2245 Street.</p><p>Вы понимаете что невозможно уже ездить на ГАЗЕЛЬКАХ, уже другие регионы от газелек отказались и только у нас в регионе они катаются. Будем надеяться что вы вернете нам на маршрут пазик или BAW 2245 Street</p>",Неудовлетворительное санитарное состояние транспорта при осуществлении внутриобластных междугородных перевозок,Администрация Льговского района,8
2792,"Колодец гтс залит водой, провода в воде. Колодец не имеет кольца под люк.",Отсутствие люков на коммуникационных колодцах,Муниципальное казенное учреждение «Городская инспекция по жилищно-коммунальному хозяйству и благоустройству»,3
1521,"<p>Добрый день. Еще летом была отремонтирована площадка под мусорные контейнеры во дворе. К сожалению, за прошедшие полгода на место их так и не вернули…</p>",Несанкционированные свалки твёрдых бытовых отходов,Администрация города Железногорска,16
751,"<p>Прошу разобраться администрации города Льгова и наказать всех причастных к незаконной работе на территории бывшего ЛАЗ. Дело в том, что дня 4 назад, территорию бывшего ЛАЗ “захватили” &nbsp;какие то “пираты” &nbsp;которые копают металл и вывозят его в большом количестве. &nbsp;Неоднократно приезжали туда пожарные машины и что то тушили, мы не знаем что они там подпаливают, может они нас завтра всех спалят и никто ничего не сделает. У них также по непотвержденной информации от местных жителей работают не совершенно летнии граждане. Прошу Вас собрать все соответствующие органы и приехать к ним с проверкой, а также запросить у МЧС что у них там горело, в области введён противопожарный режим а они что то там палят, если бы простой житель что то подполил то ему бы уже выписали штраф, по себе знаю, пригласить налоговую и что бы налоговая запросила документы о трудоустройстве. По разговорам жителей, земля завода арестована и принадлежит государству, но если это так, то чего они там делают, и чего вся улица ходит в страхе. 21 век на дворе а люди бояться ходить рядом с саводом. Если вы не предприните меры то мы будем намерены жаловаться в прокуратуру что бы хоть они дали нам объяснения, но надеемся что вы там наведёте порядок и не придётся никуда жаловаться.&nbsp;</p>",Порча земель,Администрация города Льгов,16
1697,"<p>Добрый день!</p><p>На улице Серегина 15 рядом с домом №13, образовалась огромная лужа, она формируется после ремонта дороги по данной улице. Теперь вода с проезжей части идет на прилегающую дворовую территорию, тем самым перегородив выход из двора. Просто невозможно ее никак пройти. Дорога ведет к школе, магазину, парковке,приходится добираться в&nbsp;обход. Просьба разовраться с возникшей проблемой, и подскажите ,когда будет ремонт дороги дворовой территории по ул. Серегина 15, чтобы выровнять асфальтовое полотно с проезжей частью. Просим принять меры.&nbsp;</p><p>Прилагаем фото</p>",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0
1306,"<p>Здравствуйте. Пешеходный переход на Черняховского в отвратительном состоянии. Подскажите пожалуйста, как на данном переходе можно спустить и поднять коляску( детскую или инвалидную) мало того что разрушен заезд к пандусу, так еще и пандус посмотрите в каком виде. С другой стороны лестницы, пандус отсутствует вовсе.&nbsp;</p>",Пешеходные переходы на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0
588,"<p><span style=`background-color:rgb(255,255,255);color:rgb(102,102,102);`>Лестница которая ведет от&nbsp;ул Ендовищенская до&nbsp;ул Марата опять после ремонта вот в&nbsp;таком состоянии, &nbsp;неужели нельзя все ступеньки &nbsp;в порядок привезти</span></p>","Неудовлетворительное содержание фасадов зданий и сооружений, общественных мест",Комитет дорожного хозяйства города Курска,3
2481,"Добрый день!
В июне 2021 года обратилась в комитет соцзащиты по городу Курску по вопросу получения целевой помощи (соцконтракт) на текущие нужны в трудной жизненной ситуации (школьная форма, обувь, канцтовары и тд. для детей). Меня очень подробно и добродушно проконсультировал специалист. Договорились, что позвоню в июле для назначения встречи (подача документов). Обещали внести меня в списки и оказать помощь к сентябрю (покупки для школы). В начале июля начала собирать справки о доходах (просьба консультанта для ускорения процесса, я так понимаю, эти справки запрашивает специалист самостоятельно) и другие документы. Первая справка была готова 06.07.21. 08.07 я позвонила с целью записаться на приём. Мест на июль уже не оказалось. На август записи ещё не было, предложили позвонить на следующей неделе. Позвонила сегодня, 13.07, но мне было отказано в записи на основании устного распоряжения об отсутствии денежных средств на данные цели (дату, номер документа, а также до какого срока, специалист не смог ответить). Предложили позвонить в комитет по области. Хотя изначально брали все мои данные (ФИО, телефон, состав семьи и тд ), но не позвонили. Там подробно проконсультировали и взяли мои контакты для возможного решения вопроса.
Считаю, что мои права были нарушены. 
Согласно информации от комитета воспользоваться я смогу помощью только на другие нужды (подсобное хозяйство, открытие ИП, обучение через центр занятости), которые мне не подходят. Или в следующем году (тоже не подходит, так как планирую выйти на работу и повысить свой материальный уровень). 
Прошу разобраться в ситуации.
Заранее благодарю.",Нарушения в вопросах назначения и выплат пособий и компенсаций,"Комитет социального обеспечения, материнства и детства Курской области",10
2106,Нарушение правил парковки. А потом мы удивляемся почему у нас в городе такие газоны.,Парковки на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0
2681,Отсутствует дорожная разметка на пешеходном переходе,Пешеходные переходы на дорогах в границах городских округов и сельских поселений,Комитет дорожного хозяйства города Курска,0
2696,"Добрый день, контейнерная площадка у дома   По проспекту Дружбы 19а все так же находится в запущенном состоянии(вокруг мусор), и не соответствуют требованиям СанПиН, забор с 2х сторон, а должен быть с 3х, большие контейнеры стоят на земле, а должны быть на твёрдом покрытии, расстояние от домой 19в и 19д около 200-250 а должно быть не более 100 м. Установка контейнеров площадка обещания ещё в феврале месяца (должна была появится во 2 квартале- так и не появилась). Прошу принять срочные меры по решению этой проблемы! И прошу прислать ответ на вопрос: почему Администрация города бездействует(год эту проблему решить не могут)?(ответ решим проблему в 4 квартале не принимается) Прошу прикрепить решению проблемы как минимум 4е фото, 3 фото с площадки у дома 19а(сзади, сбоку, лицевая сторона), и одна у дома 19д(там площадки нет). Без фото заявку не закрывать!",Не соответствующий установленным нормам сбор и вывоз твёрдых бытовых отходов в районах многоквартирных домов,Комитет городского хозяйства города Курска,3
667,"<p>В районе дома 2а по ул.Новая Восточная и на проезде на улицу имеются аварийные деревья,одно из которых упало на забор данного домовладения.</p>",Аварийные деревья,Комитет городского хозяйства города Курска,3
226,<p>Остановка ПАТП. Не оборудован остановочный комплекс. Люди стоят без возможности укрытия при неблагоприятных погодных условиях. Тут же паркуются фуры.</p>,Нарушение правил посадки и высадки пассажиров при осуществлении муниципальных (пригородных) перевозок,Администрация города Курска,8
139,"<p>Добрый день! на проспекте Дружбы дом 19Д &nbsp;на проезжей части дороги ведущей во двор, застройщик на деревянных поддонах сложил старый кирпич, бордюрный камень (два больших поддна). Данная ситуация может вызвать дорожно-транспортное проиществие т.к. эти поддоны сужают проезжую часть, мешают проезду, а в темное время либо в гололед возможно столкновение автомобиля с данным “неогороженным” препятствием. Указанные стройматериалы на поддонах находятся там с октября 2020 года. &nbsp;Застройщик МКП “УКС города Курска”, &nbsp;а также ООО “Жилкомплекс Дружба” не принимают никаких мер. Просьба решить данную ситуацию.</p>",Несвоевременное восстановление нарушенного благоустройства после проведения ремонтных работ,Администрация города Курска,3
1497,"<p>В городе Льгов, напротив дет.садика №1 растет тополь, тополь уже старый и его надо спилить. В любой момент, когда будет сильный ветер он может рухнуть, а рядом как никак проходит автодорога и &nbsp;рядом расположен тротуар по которому идут родители с детьми, одним словом люди.&nbsp;</p><p>Вместо тополей надо посадить елки, что бы хоть как то озеленить город</p>",Аварийные деревья,Администрация города Льгов,3
2199,"Здравствуйте! На тротуарной дорожке, соединяющей парк героев Гражданской войны и дом 77, находящийся на улице Семёновской, отсутсвует должное освещение, введу чего, в ночное время (в том числе и зимой), возникают проблемы с видимостью (у пенсионеров, детей) на достаточно продолжительном участке (порядка 100 метров). Прошу установить освещение (скорее всего, хватит и одного фонаря) на данном промежутке.",Неработающее наружное освещение,Администрация города Курска,3
495,"<p><span style=`background-color:rgb(225,245,254);color:rgb(35,39,53);`>Огроменные ямы всей этой улице!!! не соответствует ГОСТ Р 50597-93!! Размер больше 15 см. Аварийное состояние!!! 12 дней на устранение!!!</span></p>",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Администрация города Железногорска,0
2236,<p>Три года назад электросети спилили деревья ветки лежат до сих пор. С прилегающих домов туда выкидывают мусор вплоть до автомобильных шин.&nbsp;</p>,Неудовлетворительная уборка улиц и тротуаров,Администрация г. Обояни,3
349,"<p>Прошу Вас восстановить уличное освещение по улице Энгельса. &nbsp;Освещения очень мало, включите освещение хотя бы через столб. &nbsp;На автобусных остановках также нету освещения.&nbsp;</p>",Освещение дорог регионального и межмуниципального значения,Администрация города Льгов,0
1765,"<p>Второй месяц подряд в 6 подъезде проблемы с горячей водой, а именно с перепадами &nbsp;температуры воды. Каждый вечер надо сливать много литров воды чтобы из крана полилась именно горячая вода, а иногда и даже это не помогает. Змеевик всегда чуть теплый. &nbsp;Почему нет нормального водоснабжения???????????????</p>",Некачественное водоснабжение многоквартирного дома,Администрация Центрального округа города Курска,3
1895,"Прошу организовать регулярную эвакуацию транспортных средств в течение всего рабочего дня с места остановки общественного транспорта Улица Запольная по улице Запольной в сторону улицы 50 лет Октября. Также прошу организовать регулярную уборку снега из заездного кармана и посадочной площадки данной остановки.

Оставленные на стоянку транспортные средства в данном месте препятствуют не только уборке снега, но и посадке и высадки пассажиров. Пассажиры ожидают транспорт на проезжей части, маршрутные автобусы занимают при посадке и высадке пассажиров полосу, предназначенную для движения, не имея возможности заехать в карман. Эвакуация транспортных средств с данного участка требует особого внимания.",Очистка от снега и наледи дорог в границах городских округов и сельских поселений,Администрация города Курска,0
2662,"После урагана дерево упало на провода где утиный остров, и до сегодняшнего дня оно там и весит. Кто этим должен заниматься?",Аварийные деревья,Комитет городского хозяйства города Курска,3
187,"<p>Здравствуйте!&nbsp;</p><p>В ГСК на ул.Орловская, в районе дома №1 “добрые” люди прикормили свору бездомных собак. Собаки теперь считают территорию своей и проявляют агрессию по отношению к проходящим мимо людям и другим собакам (а мимо регулярно ходят и в другие гаражи, и в лес). &nbsp;Прошу произвести отлов бесхозных животных, пока не дошло до покусов. В приложении карта с отметкой. Основная примета - опора ЛЭП</p>",Безнадзорные животные,Администрация города Курска,1
2820,"Добрый день, по улице Репина в г. Курске в этом году отсыпали фрез с нарушением технологии(фрез рассыпали и не укатали)даже когда фрез был свежий машина в нем «закапывалась», сейчас в этой дороге пару раз проехали тяжелая техника и образовалась колея, что проехать на легковой машине даже по возвышенности колеи стало невозможно (машина цепляется), в том году отсыпали на параллельной улице фрез и в этом на улице вдоль посадок(отмечены фиолетовым), там такой проблемы нет, все сделано по технологии, тяжелая проходит и не разрушает покрытие! Прошу принять меры во восстановлению покрытия, привлечь недобросовестного подрядчика к исправлению дороги(укатать и возможно подсыпать фрез).  Скрин Яндекс : фиолетовый цвет- дороги отсыпанные по технологии (техника проезжает не разругал покрытия) Красный цвет: дорога требует восстановления (улица Репина)",Нарушение дорожного покрытия (ямы) на дорогах в микрорайонах ИЖС,Комитет дорожного хозяйства города Курска,0
2374,Аварийнре дерево,Аварийные деревья,Комитет городского хозяйства города Курска,3
2329,"В многоэтажном доме по улице Чехова 9 ливневая канализация во время сильного дождя не справляется со своей функцией.Вода течет из трубопровода,на полу образуются огромные лужи.
Отсутствие нормально действующей системы ливневой канализации ставит под угрозу квартиры,способствует преждевременному разрушению несущих элементов конструкции. Проникновение стоков способствует появлению комаров,плесени,затхлого запаха в подъезде.Возникает угроза попадания стоков в электрощитки.В прошлом году жильцы дома обращались с письменным заявлением в управляющую компанию `Коммунальный центр` ,для решения сложившейся проблемы.Ничего не было сделано.Заявление было утеряно.В мае 2021 года снова обратились в управляющую компанию с письменным заявлением для решения проблемы.Спустя  несколько дней из управляющей компании пришел сотрудник,который замазал герметиком стыки трубопровода.В эти выходные был сильный дождь,в результате которого все 5 этажей дома были залиты стоками.Ливневая канализация в очередной раз не справилась со своей главной задачей.Вероятнее всего ливневая канализация давно засорилась и не справляется с потоком.Стены залиты,полы залиты,растет плесень.Здоровье и иммущество жильцов под большой угрозой.",Ливневая канализация,Государственная жилищная инспекция Курской области,3
498,"<p><span style=`background-color:rgb(225,245,254);color:rgb(35,39,53);`>Огроменные ямы всей этой улице!!! не соответствует ГОСТ Р 50597-93!! Размер больше 15 см. Аварийное состояние!!! 12 дней на устранение!!!</span></p>",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Администрация города Железногорска,0
1416,"<p>Прошу Вас пожалуйста дать ответ на нижеперечисленные вопросы.&nbsp;</p><ol><li>Когда выйдут на линию `московские` трамваи?&nbsp;</li><li>Сколько едениц трамвайных вагонов перекрасили с требовониям дизайн кода?&nbsp;</li><li>Будут ли перешивать трамвайное полотно, если да то на каких участаках?&nbsp;</li></ol>",Недостаточное количество транспорта на маршруте при осуществлении муниципальных (пригородных) перевозок,Комитет транспорта и автомобильных дорог Курской области,8
1876,"Уважаемый роман Владимирович, на развязке Дериглазова+ТЦ МЕТРО сплошные ямы объехать их возможно, просим в скором времени устранить, а то уже большинство машин объезжают по встречной полосе троллейбуса. Спасибо!",Нарушение дорожного покрытия (ямы)  на дорогах в границах городских округов и сельских поселений,Администрация города Курска,0
